"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi ülke merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Çalıştığınız şirketteki unvanınız nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Senede kaç kez zam alıyorsunuz?","Ara zam / iyileştirme oranınız hangi aralıkta?","Yemek kartınız varsa günlük güncel miktar nedir?","Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Udemy vb kurs üyelikleri
İşsizlik sigortası
İşçi tazminatı",Türkiye,"Türkiye ","34 İstanbul",Ofiste,51-150,"Android Developer",Junior,"0-1 Yıl","Adobe CC araçları
ChatGPT
Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Kotlin","Türk Lirası",Net,1,Almadım,150-180TL,"29.802 TL - 37.252 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Android Developer",Mid,"3-5 Yıl","Flutter
Javascript / Typescript ve bağlı framework'ler
Kotlin
Swift","Türk Lirası",Net,"4 veya üzeri",%21-%35,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Engineering Manager",Staff,"12 Yıl ve üzeri","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,2,Almadım,150-180TL,"150.003 TL - 195.002 TL"
"Şub 3, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Tıbbi izin","Yurt dışı","Amerika Birleşik Devletleri ",,Remote,21-50,"Team Lead",Senior,"5-7 Yıl","Adobe CC araçları
ChatGPT
Figma / XD ve diğer tasarım araçları
Microsoft Office Araçları","Türk Lirası",Net,2,"%71 ve üzeri",,"82.653 TL - 105.102 TL"
"Şub 3, 2024",Erkek,"Yol / yakıt yardımı",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Frontend Developer / Engineer",Junior,"0-1 Yıl","ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,Almadım,"150 TL altı","29.802 TL - 37.252 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","35 İzmir",Hybrid,301-600,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,2,%36-%50,"210-250 TL","26.803 TL - 29.801 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
İşçi tazminatı",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Software Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
DevOps araçları
Figma / XD ve diğer tasarım araçları
Flutter
Microsoft Office Araçları
NoSQL
SQL","Türk Lirası",Net,2,%36-%50,"210-250 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Tıbbi izin",Türkiye,,"20 Denizli",Remote,51-150,Diğer,Staff,"12 Yıl ve üzeri","C# / .NET Framework
C, C++
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Linux
Python
SQL","Türk Lirası",Net,1,Almadım,"150 TL altı","54.952 TL - 67.202 TL"
"Şub 3, 2024",Erkek,"Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tıbbi izin","Yurt dışı","Amerika Birleşik Devletleri ",,Remote,1.000-5.000,"Frontend Developer / Engineer",Senior,"9-12 Yıl","Javascript / Typescript ve bağlı framework'ler",Dolar,Net,1,Almadım,,"195.003 TL - 239.002 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,301-600,DevOps,Senior,"5-7 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux","Türk Lirası",Net,2,%51-%70,150-180TL,"82.653 TL - 105.102 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Backend Developer / Engineer",Mid,"5-7 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)","Türk Lirası",Net,2,%21-%35,"210-250 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Personel servisi",Türkiye,"Türkiye ","34 İstanbul",Ofiste,"10.000 ve üzeri","Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Python","Türk Lirası",Brüt,2,%36-%50,150-180TL,"37.253 TL - 44.703 TL"
"Şub 3, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","35 İzmir",Hybrid,51-150,"BI Developer / Engineer",Junior,"1-3 Yıl","Microsoft Office Araçları
SQL","Türk Lirası",Net,"4 veya üzeri",%11-%20,"180-210 TL","29.802 TL - 37.252 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,%36-%50,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Yol / yakıt yardımı",Türkiye,"Türkiye ","34 İstanbul",Ofiste,51-150,Diğer,Mid,"1-3 Yıl",,"Türk Lirası",Net,1,Almadım,"210-250 TL","22.452 TL - 26.802 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Spor salonu üyeliği / indirimi
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","41 Kocaeli",Remote,601-1.000,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,1,%36-%50,"250-300 TL","37.253 TL - 44.703 TL"
"Şub 3, 2024",Kadın,"Yemek kartı
Şirket aracı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,"10.000 ve üzeri","Team Lead",Staff,"9-12 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux","Türk Lirası",Net,2,%11-%20,"250-300 TL","195.003 TL - 239.002 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Mobile Developer(Cross Platform)",Mid,"3-5 Yıl",Flutter,"Türk Lirası",Net,2,%36-%50,"180-210 TL","54.952 TL - 67.202 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"Türkiye ",,Hybrid,11-20,"Mobile Developer(Cross Platform)",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,%51-%70,"210-250 TL","22.452 TL - 26.802 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,5.000-10.000,"Mobile Developer(Cross Platform)",Senior,"9-12 Yıl","Flutter
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,1,%36-%50,"180-210 TL","105.103 TL - 127.552 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Tamamlayıcı sağlık sigortası
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,21-50,"Business Analyst",Senior,"3-5 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
Python
SQL","Türk Lirası",Net,2,%36-%50,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Hybrid,5.000-10.000,"Software Engineer",Senior,"7-9 Yıl","C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes
SQL","Türk Lirası",Net,2,%21-%35,"250-300 TL","127.553 TL - 150.002 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket aracı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,"Fransa ","34 İstanbul",Hybrid,301-600,"Product Manager",Staff,"12 Yıl ve üzeri","Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes","Türk Lirası",Net,2,%36-%50,"210-250 TL","239.003 TL - 298.752 TL"
"Şub 3, 2024",Erkek,"Şirket telefonu",Türkiye,"Türkiye ","34 İstanbul",Remote,1-10,Diğer,Senior,"12 Yıl ve üzeri","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%11-%20,,"54.952 TL - 67.202 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Hybrid,1.000-5.000,"Android Developer",Senior,"5-7 Yıl","Figma / XD ve diğer tasarım araçları
Java ve bağlı framework'ler
Kotlin","Türk Lirası",Net,2,%36-%50,"210-250 TL","105.103 TL - 127.552 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"iOS Developer",Senior,"5-7 Yıl",Swift,"Türk Lirası",Net,2,Almadım,"180-210 TL","82.653 TL - 105.102 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"Türkiye ","34 İstanbul",Ofiste,51-150,"Backend Developer / Engineer",Mid,"3-5 Yıl","ChatGPT
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
PHP","Türk Lirası",Net,2,%5-%10,150-180TL,"17.002 TL - 22.451 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"System Support Engineer","Yeni mezun","0-1 Yıl","ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,2,%36-%50,"300 TL ve üzeri","29.802 TL - 37.252 TL"
"Şub 3, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Udemy vb kurs üyelikleri",Türkiye,"Türkiye ","64 Uşak",Ofiste,1-10,"Frontend Developer / Engineer",Junior,"0-1 Yıl","ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,%11-%20,,"22.452 TL - 26.802 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Şirket aracı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri
Sertifika sınav ücretleri","Yurt dışı","Amerika Birleşik Devletleri ",,Ofiste,601-1.000,"AI - ML Developer / Engineer",Senior,"9-12 Yıl","C, C++
ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Python
SQL",Dolar,Net,2,%21-%35,"300 TL ve üzeri","373.503 TL ve üzeri"
"Şub 3, 2024",Erkek,"Yemek kartı",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler","Türk Lirası",Net,2,%36-%50,150-180TL,"22.452 TL - 26.802 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","41 Kocaeli",Remote,1.000-5.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Brüt,2,%36-%50,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Tamamlayıcı sağlık sigortası
Hayat sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,5.000-10.000,"System Administrator",Junior,"3-5 Yıl","ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Linux","Türk Lirası",Net,2,%51-%70,"210-250 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1.000-5.000,"Software Engineer",Senior,"7-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)","Türk Lirası",Net,2,%36-%50,"250-300 TL","54.952 TL - 67.202 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)",Türkiye,,"34 İstanbul",Remote,21-50,"AI - ML Developer / Engineer",Mid,"1-3 Yıl",Python,"Türk Lirası",Net,2,%51-%70,150-180TL,"44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Q/A - Test Automation Engineer",Senior,"5-7 Yıl","ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Dolar,Net,1,Almadım,,"82.653 TL - 105.102 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,51-150,"Software Engineer",Senior,"5-7 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,2,%51-%70,"180-210 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Employee stock options",Türkiye,,"07 Antalya",Remote,11-20,"Team Lead",Senior,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
PHP
Python
SQL","Türk Lirası",Net,2,%21-%35,,"67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Erzak yardımı
Tamamlayıcı sağlık sigortası
Hayat sigortası
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","41 Kocaeli",Remote,"10.000 ve üzeri","Software Architect",Senior,"12 Yıl ve üzeri","C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları","Türk Lirası",Brüt,1,%21-%35,"210-250 TL","82.653 TL - 105.102 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Erzak yardımı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Tıbbi izin","Yurt dışı","Türkiye ",,Remote,301-600,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,3,%36-%50,"210-250 TL","37.253 TL - 44.703 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,21-50,"Fullstack Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,2,%51-%70,150-180TL,"44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Backend Developer / Engineer",Senior,"5-7 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Python
SQL","Türk Lirası",Net,1,%36-%50,150-180TL,"105.103 TL - 127.552 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,601-1.000,"Backend Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,2,%36-%50,"250-300 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,151-300,Diğer,Senior,"9-12 Yıl","Flutter
Kotlin
Swift","Türk Lirası",Brüt,2,%21-%35,"300 TL ve üzeri","54.952 TL - 67.202 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","35 İzmir",Remote,1-10,"Game Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework","Türk Lirası",Net,2,"%71 ve üzeri","210-250 TL","37.253 TL - 44.703 TL"
"Şub 3, 2024",Kadın,"Yemek kartı
Spor salonu üyeliği / indirimi
Özel günlerde hediye çeki
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,"10.000 ve üzeri","Data Scientist",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Python
SQL","Türk Lirası",Net,2,%21-%35,"180-210 TL","37.253 TL - 44.703 TL"
"Şub 3, 2024",Kadın,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Software Engineer",Senior,"3-5 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL","Türk Lirası",Brüt,2,%36-%50,"210-250 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ",,Hybrid,51-150,"Software Engineer",Senior,"9-12 Yıl","C# / .NET Framework","Türk Lirası",Net,2,%21-%35,"250-300 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,5.000-10.000,"Backend Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
NoSQL
SQL","Türk Lirası",Brüt,1,%36-%50,"250-300 TL","82.653 TL - 105.102 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,2,%51-%70,"180-210 TL","44.704 TL - 54.951 TL"
"Şub 3, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","06 Ankara",Ofiste,301-600,"Business Analyst",Senior,"7-9 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,2,%5-%10,"180-210 TL","37.253 TL - 44.703 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Senior,"7-9 Yıl","C# / .NET Framework
ChatGPT
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları","Türk Lirası",Net,1,%36-%50,"210-250 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"Türkiye ","34 İstanbul",Remote,601-1.000,"IT Specialist",Senior,"5-7 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
No-code / Low-code Araçları
SQL","Türk Lirası",Net,2,%21-%35,"210-250 TL","37.253 TL - 44.703 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Ofiste,21-50,"Product Owner",Senior,"7-9 Yıl","C# / .NET Framework
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,1,Almadım,"210-250 TL","44.704 TL - 54.951 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Remote,1.000-5.000,"Backend Developer / Engineer",Junior,"3-5 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python","Türk Lirası",Net,2,%51-%70,"210-250 TL","67.203 TL - 82.652 TL"
"Şub 3, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,,"34 İstanbul",Remote,151-300,"Backend Developer / Engineer",Mid,"1-3 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes
SQL","Türk Lirası",Net,"4 veya üzeri",%11-%20,"250-300 TL","54.952 TL - 67.202 TL"
"Şub 3, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Employee stock options",Türkiye,"Türkiye ","06 Ankara",Remote,21-50,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%21-%35,"180-210 TL","127.553 TL - 150.002 TL"
